nama;karbohidrat;protein;lemak;kalori;gula;garam;air
ayam-bakar;0.1;23;15;226;0;335;0
bakso;7.58;12.41;13.16;202;0;478;0
bandeng-goreng;11.3;17.1;20.3;296;0;67;74
bawal-goreng;0;19;1.7;91;0;129;78
gado;21;6.1;3.2;137;0;0;68.5
gorengan;39;8.2;10.2;280;0;0;40.5
gulai-kambing;6.2;4.2;9.4;126;0;302;78.4
kepiting;14.1;13.8;3.8;151;0;0;68.1
klepon;65.82;4.75;9.34;366;5.59;0;0
lele-goreng;8.54;17.57;14.53;240;0;398;0
mie-ayam;10.5;6.2;3.9;102;0;279;78.6
nasi-goreng;40.2;7;34.4;500;0;18;0
nasi-putih;39.8;3;0.3;180;0.05;1;56.7
rawon;4;5.4;2.5;60;0;0;86
rendang;7.8;22.6;7.9;193;0;0;57.9
roti;48.68;10.72;3.24;267;0;508;0
sate;4.87;19.54;14.82;225;0;355;0
tahu;0.8;10.9;4.7;80;0;2;82.2
telur-balado;2.44;7.15;11.5;142;0;249;0
telur-goreng;0.9;14;15;196;0;207;0
tempe;7.8;20;28;336;0;20;42.9
tempe-orek;15.6;13.11;8.2;175;0;209;0
tumis-kangkung;3.1;2.6;2.7;39;0;113;0
